Arizona Cardinals 176 7.567063 5.610837 4.2 3.9 20 30 -444 7 
Atlanta Falcons -2 6.36447 6.49138 3.8 4 25 19 241 4 
Baltimore Ravens -77 5.84714 6.04296 3.9 4 24 7 405 3 
Buffalo Bills 22 6.08679 6.17496 4.8 4.4 14 22 343 4 
Carolina Panthers	202	6.189138577	4.971181556	4.3	3.9	18	33	65	5
Chicago Bears	-66	6.264388489	6.135283364	3.9	4.5	14	5	14	0
Cincinnati Bengals	138	6.968342644	5.360465116	3.9	4.3	15	25	-146	1
Cleveland Browns	-148	5.148036254	7.138888889	4	4.5	19	15	250	3
Dallas Cowboys	-107	5.819964349	6.344506518	4.6	4.2	30	12	-19	1
Denver Broncos	59	5.773643411	4.5472	4.2	3.3	29	26	290	6
Detroit Lions Stats	-44	5.859467456	6.163157895	3.8	4.2	20	17	145	2
Green Bay Packers	41	5.130645161	5.7003367	4.2	4.5	13	23	-201	3
Houston Texans	22	5.476335878	5.108695652	3.7	4.1	16	17	-81	3
Indianapolis Colts	-77	5.304878049	6.230645161	3.6	4.3	25	23	-237	5
Jacksonville Jaguars	-70	5.756838906	6.354231975	4.2	3.7	23	14	-109	4
Kansas City Chiefs	116	5.813102119	5.211009174	4.7	4.1	13	28	-63	6
Miami Dolphins	-75	5.357030016	6.588132635	4.3	4	15	18	85	4
Minnesota Vikings	65	5.230460922	5.754966887	4.7	4.3	14	16	-78	6
New England Patriots	156	6.539730135	5.415503876	3.7	4	9	27	-154	2
New Orleans Saints	-74	6.773962804	7.535652174	3.8	4.9	17	17	225	2
New York Giants	-24	6.446153846	7.028744327	4	4.4	18	22	-298	6
New York Jets	81	6.300319489	5.4453125	4.2	3.6	21	23	20	0
Oakland Raiders	-32	5.688087774	5.786450663	3.9	4.1	17	18	159	1
Philadelphia Eagles	-53	5.807575758	6.014925373	3.9	4.5	29	23	-232	6
Pittsburgh Steelers	90	7.036918138	6.001485884	4.4	3.8	24	22	-281	3
San Diego Chargers	-74	6.120226308	6.575645756	3.5	4.8	20	15	-34	1
San Fransisco 49ers -141 5.15717 6.90295 4 4 14 11 -97 1
Seattle Seahawks	150	6.577570093	5.314529915	4.5	3.6	13	26	212	5
St. Louis Rams	-50	5.456211813	6.001567398	4.6	4	18	22	15	4
Tampa Bay Buccaneers -77 6.516014235 6.242214533 4.8 3.4 24 19 336 3
Tennessee Titans	-130	5.145454545	6.297597043	4	3.9	23	18	-203	2
Washington Redskins	3	6.694158076	6.397350993	3.7	4.8	17	19	-128	4
